region_id,region_name,province,date,year,month,transactions,in_branch_transactions,digital_transactions,digital_percentage
RG001,Toronto Central,Ontario,2021-01-01,2021,1,241124,55217,185906,77.1
RG002,Toronto North,Ontario,2021-01-01,2021,1,239907,104839,135067,56.3
RG003,Toronto East,Ontario,2021-01-01,2021,1,180973,49767,131205,72.5
RG004,Toronto West,Ontario,2021-01-01,2021,1,202384,81358,121025,59.8
RG005,Mississauga,Ontario,2021-01-01,2021,1,189139,28370,160768,85.0
RG006,Brampton,Ontario,2021-01-01,2021,1,141821,23258,118562,83.6
RG007,Hamilton,Ontario,2021-01-01,2021,1,231933,89294,142638,61.5
RG008,Ottawa,Ontario,2021-01-01,2021,1,72061,14340,57720,80.1
RG009,Vancouver Downtown,British Columbia,2021-01-01,2021,1,107563,34205,73357,68.2
RG010,Vancouver East,British Columbia,2021-01-01,2021,1,104809,44753,60055,57.3
RG011,Vancouver West,British Columbia,2021-01-01,2021,1,132202,25118,107083,81.0
RG012,Burnaby,British Columbia,2021-01-01,2021,1,131868,32967,98901,75.0
RG013,Surrey,British Columbia,2021-01-01,2021,1,231953,100899,131053,56.5
RG014,Richmond,British Columbia,2021-01-01,2021,1,199296,85896,113399,56.9
RG015,Calgary Downtown,Alberta,2021-01-01,2021,1,136759,60857,75901,55.5
RG016,Calgary North,Alberta,2021-01-01,2021,1,179664,83543,96120,53.5
RG017,Calgary South,Alberta,2021-01-01,2021,1,120159,18864,101294,84.3
RG018,Edmonton Central,Alberta,2021-01-01,2021,1,155348,27185,128162,82.5
RG019,Edmonton West,Alberta,2021-01-01,2021,1,37291,16445,20845,55.9
RG020,Montreal Central,Quebec,2021-01-01,2021,1,48602,18517,30084,61.9
RG021,Montreal East,Quebec,2021-01-01,2021,1,92500,41347,51152,55.3
RG022,Montreal West,Quebec,2021-01-01,2021,1,132163,21939,110223,83.4
RG023,Laval,Quebec,2021-01-01,2021,1,82617,39160,43456,52.6
RG024,Quebec City,Quebec,2021-01-01,2021,1,56008,23915,32092,57.3
RG001,Toronto Central,Ontario,2021-01-31,2021,1,237118,54300,182817,77.1
RG002,Toronto North,Ontario,2021-01-31,2021,1,234508,102479,132028,56.3
RG003,Toronto East,Ontario,2021-01-31,2021,1,195733,53826,141906,72.5
RG004,Toronto West,Ontario,2021-01-31,2021,1,192000,77184,114816,59.8
RG005,Mississauga,Ontario,2021-01-31,2021,1,188809,28321,160487,85.0
RG006,Brampton,Ontario,2021-01-31,2021,1,143802,23583,120218,83.6
RG007,Hamilton,Ontario,2021-01-31,2021,1,226044,87026,139017,61.5
RG008,Ottawa,Ontario,2021-01-31,2021,1,67159,13364,53794,80.1
RG009,Vancouver Downtown,British Columbia,2021-01-31,2021,1,107777,34273,73503,68.2
RG010,Vancouver East,British Columbia,2021-01-31,2021,1,98708,42148,56559,57.3
RG011,Vancouver West,British Columbia,2021-01-31,2021,1,120627,22919,97707,81.0
RG012,Burnaby,British Columbia,2021-01-31,2021,1,131209,32802,98406,75.0
RG013,Surrey,British Columbia,2021-01-31,2021,1,244132,106197,137934,56.5
RG014,Richmond,British Columbia,2021-01-31,2021,1,202097,87103,114993,56.9
RG015,Calgary Downtown,Alberta,2021-01-31,2021,1,144588,64341,80246,55.5
RG016,Calgary North,Alberta,2021-01-31,2021,1,180330,83853,96476,53.5
RG017,Calgary South,Alberta,2021-01-31,2021,1,130298,20456,109841,84.3
RG018,Edmonton Central,Alberta,2021-01-31,2021,1,157365,27538,129826,82.5
RG019,Edmonton West,Alberta,2021-01-31,2021,1,37938,16730,21207,55.9
RG020,Montreal Central,Quebec,2021-01-31,2021,1,47027,17917,29109,61.9
RG021,Montreal East,Quebec,2021-01-31,2021,1,96216,43008,53207,55.3
RG022,Montreal West,Quebec,2021-01-31,2021,1,132175,21941,110233,83.4
RG023,Laval,Quebec,2021-01-31,2021,1,83085,39382,43702,52.6
RG024,Quebec City,Quebec,2021-01-31,2021,1,55729,23796,31932,57.3
RG001,Toronto Central,Ontario,2021-03-02,2021,3,264082,60474,203607,77.1
RG002,Toronto North,Ontario,2021-03-02,2021,3,275871,120555,155315,56.3
RG003,Toronto East,Ontario,2021-03-02,2021,3,213459,58701,154757,72.5
RG004,Toronto West,Ontario,2021-03-02,2021,3,225725,90741,134983,59.8
RG005,Mississauga,Ontario,2021-03-02,2021,3,208352,31252,177099,85.0
RG006,Brampton,Ontario,2021-03-02,2021,3,161246,26444,134801,83.6
RG007,Hamilton,Ontario,2021-03-02,2021,3,273325,105230,168094,61.5
RG008,Ottawa,Ontario,2021-03-02,2021,3,81488,16216,65271,80.1
RG009,Vancouver Downtown,British Columbia,2021-03-02,2021,3,122107,38830,83276,68.2
RG010,Vancouver East,British Columbia,2021-03-02,2021,3,116639,49804,66834,57.3
RG011,Vancouver West,British Columbia,2021-03-02,2021,3,144113,27381,116731,81.0
RG012,Burnaby,British Columbia,2021-03-02,2021,3,153448,38362,115086,75.0
RG013,Surrey,British Columbia,2021-03-02,2021,3,275127,119680,155446,56.5
RG014,Richmond,British Columbia,2021-03-02,2021,3,221647,95529,126117,56.9
RG015,Calgary Downtown,Alberta,2021-03-02,2021,3,155116,69026,86089,55.5
RG016,Calgary North,Alberta,2021-03-02,2021,3,205295,95462,109832,53.5
RG017,Calgary South,Alberta,2021-03-02,2021,3,142142,22316,119825,84.3
RG018,Edmonton Central,Alberta,2021-03-02,2021,3,177879,31128,146750,82.5
RG019,Edmonton West,Alberta,2021-03-02,2021,3,43053,18986,24066,55.9
RG020,Montreal Central,Quebec,2021-03-02,2021,3,56318,21457,34860,61.9
RG021,Montreal East,Quebec,2021-03-02,2021,3,101023,45157,55865,55.3
RG022,Montreal West,Quebec,2021-03-02,2021,3,156540,25985,130554,83.4
RG023,Laval,Quebec,2021-03-02,2021,3,92146,43677,48468,52.6
RG024,Quebec City,Quebec,2021-03-02,2021,3,58951,25172,33778,57.3
RG001,Toronto Central,Ontario,2021-04-01,2021,4,263113,60252,202860,77.1
RG002,Toronto North,Ontario,2021-04-01,2021,4,279129,121979,157149,56.3
RG003,Toronto East,Ontario,2021-04-01,2021,4,213645,58752,154892,72.5
RG004,Toronto West,Ontario,2021-04-01,2021,4,208384,83770,124613,59.8
RG005,Mississauga,Ontario,2021-04-01,2021,4,215767,32365,183401,85.0
RG006,Brampton,Ontario,2021-04-01,2021,4,158080,25925,132154,83.6
RG007,Hamilton,Ontario,2021-04-01,2021,4,269631,103807,165823,61.5
RG008,Ottawa,Ontario,2021-04-01,2021,4,81350,16188,65161,80.1
RG009,Vancouver Downtown,British Columbia,2021-04-01,2021,4,121124,38517,82606,68.2
RG010,Vancouver East,British Columbia,2021-04-01,2021,4,118840,50744,68095,57.3
RG011,Vancouver West,British Columbia,2021-04-01,2021,4,146867,27904,118962,81.0
RG012,Burnaby,British Columbia,2021-04-01,2021,4,148773,37193,111579,75.0
RG013,Surrey,British Columbia,2021-04-01,2021,4,254751,110816,143934,56.5
RG014,Richmond,British Columbia,2021-04-01,2021,4,236763,102044,134718,56.9
RG015,Calgary Downtown,Alberta,2021-04-01,2021,4,158457,70513,87943,55.5
RG016,Calgary North,Alberta,2021-04-01,2021,4,200574,93266,107307,53.5
RG017,Calgary South,Alberta,2021-04-01,2021,4,134440,21107,113332,84.3
RG018,Edmonton Central,Alberta,2021-04-01,2021,4,169843,29722,140120,82.5
RG019,Edmonton West,Alberta,2021-04-01,2021,4,42993,18959,24033,55.9
RG020,Montreal Central,Quebec,2021-04-01,2021,4,53993,20571,33421,61.9
RG021,Montreal East,Quebec,2021-04-01,2021,4,102073,45626,56446,55.3
RG022,Montreal West,Quebec,2021-04-01,2021,4,148596,24666,123929,83.4
RG023,Laval,Quebec,2021-04-01,2021,4,91294,43273,48020,52.6
RG024,Quebec City,Quebec,2021-04-01,2021,4,62870,26845,36024,57.3
RG001,Toronto Central,Ontario,2021-05-01,2021,5,263970,60449,203520,77.1
RG002,Toronto North,Ontario,2021-05-01,2021,5,282658,123521,159136,56.3
RG003,Toronto East,Ontario,2021-05-01,2021,5,216928,59655,157272,72.5
RG004,Toronto West,Ontario,2021-05-01,2021,5,216285,86946,129338,59.8
RG005,Mississauga,Ontario,2021-05-01,2021,5,214532,32179,182352,85.0
RG006,Brampton,Ontario,2021-05-01,2021,5,156867,25726,131140,83.6
RG007,Hamilton,Ontario,2021-05-01,2021,5,255942,98537,157404,61.5
RG008,Ottawa,Ontario,2021-05-01,2021,5,78318,15585,62732,80.1
RG009,Vancouver Downtown,British Columbia,2021-05-01,2021,5,129939,41320,88618,68.2
RG010,Vancouver East,British Columbia,2021-05-01,2021,5,110139,47029,63109,57.3
RG011,Vancouver West,British Columbia,2021-05-01,2021,5,146374,27811,118562,81.0
RG012,Burnaby,British Columbia,2021-05-01,2021,5,153029,38257,114771,75.0
RG013,Surrey,British Columbia,2021-05-01,2021,5,272002,118320,153681,56.5
RG014,Richmond,British Columbia,2021-05-01,2021,5,229659,98983,130675,56.9
RG015,Calgary Downtown,Alberta,2021-05-01,2021,5,159201,70844,88356,55.5
RG016,Calgary North,Alberta,2021-05-01,2021,5,204509,95096,109412,53.5
RG017,Calgary South,Alberta,2021-05-01,2021,5,135025,21198,113826,84.3
RG018,Edmonton Central,Alberta,2021-05-01,2021,5,178054,31159,146894,82.5
RG019,Edmonton West,Alberta,2021-05-01,2021,5,42245,18630,23614,55.9
RG020,Montreal Central,Quebec,2021-05-01,2021,5,54920,20924,33995,61.9
RG021,Montreal East,Quebec,2021-05-01,2021,5,103650,46331,57318,55.3
RG022,Montreal West,Quebec,2021-05-01,2021,5,147155,24427,122727,83.4
RG023,Laval,Quebec,2021-05-01,2021,5,93987,44549,49437,52.6
RG024,Quebec City,Quebec,2021-05-01,2021,5,62206,26561,35644,57.3
RG001,Toronto Central,Ontario,2021-05-31,2021,5,271505,62174,209330,77.1
RG002,Toronto North,Ontario,2021-05-31,2021,5,263280,115053,148226,56.3
RG003,Toronto East,Ontario,2021-05-31,2021,5,211122,58058,153063,72.5
RG004,Toronto West,Ontario,2021-05-31,2021,5,212003,85225,126777,59.8
RG005,Mississauga,Ontario,2021-05-31,2021,5,209585,31437,178147,85.0
